sha256,sample_file,field,value,note
5e44f15e748fafb41aa0159212414af0292aec607a35567e2c8317a1d4a9c834,1.jpg,christened_males,180,"Assize dated 9 May 1732. Four bare 'A Hundred' rows, all blank."
5e44f15e748fafb41aa0159212414af0292aec607a35567e2c8317a1d4a9c834,1.jpg,christened_females,168,
5e44f15e748fafb41aa0159212414af0292aec607a35567e2c8317a1d4a9c834,1.jpg,christened_in_all,348,
5e44f15e748fafb41aa0159212414af0292aec607a35567e2c8317a1d4a9c834,1.jpg,buried_males,231,
5e44f15e748fafb41aa0159212414af0292aec607a35567e2c8317a1d4a9c834,1.jpg,buried_females,247,
5e44f15e748fafb41aa0159212414af0292aec607a35567e2c8317a1d4a9c834,1.jpg,buried_in_all,478,
5e44f15e748fafb41aa0159212414af0292aec607a35567e2c8317a1d4a9c834,1.jpg,burials_change,49,
5e44f15e748fafb41aa0159212414af0292aec607a35567e2c8317a1d4a9c834,1.jpg,under_2,245,
5e44f15e748fafb41aa0159212414af0292aec607a35567e2c8317a1d4a9c834,1.jpg,2_to_5,19,
5e44f15e748fafb41aa0159212414af0292aec607a35567e2c8317a1d4a9c834,1.jpg,5_to_10,12,
5e44f15e748fafb41aa0159212414af0292aec607a35567e2c8317a1d4a9c834,1.jpg,10_to_20,8,
5e44f15e748fafb41aa0159212414af0292aec607a35567e2c8317a1d4a9c834,1.jpg,20_to_30,39,
5e44f15e748fafb41aa0159212414af0292aec607a35567e2c8317a1d4a9c834,1.jpg,30_to_40,37,
5e44f15e748fafb41aa0159212414af0292aec607a35567e2c8317a1d4a9c834,1.jpg,40_to_50,33,
5e44f15e748fafb41aa0159212414af0292aec607a35567e2c8317a1d4a9c834,1.jpg,50_to_60,32,
5e44f15e748fafb41aa0159212414af0292aec607a35567e2c8317a1d4a9c834,1.jpg,60_to_70,29,
5e44f15e748fafb41aa0159212414af0292aec607a35567e2c8317a1d4a9c834,1.jpg,70_to_80,14,
5e44f15e748fafb41aa0159212414af0292aec607a35567e2c8317a1d4a9c834,1.jpg,80_to_90,7,
5e44f15e748fafb41aa0159212414af0292aec607a35567e2c8317a1d4a9c834,1.jpg,90_to_100,3,
5e44f15e748fafb41aa0159212414af0292aec607a35567e2c8317a1d4a9c834,1.jpg,age_100,blank,
dcf42ec065695ba15a9d1a4fd0d1e66e0e8bfe83c6fe5fb8aa9f8d0d75959deb,2.jpg,christened_males,128,"Assize dated 9 Aug 1743. First centenarian row printed 'A Hundred 5 . 1': read as age 105, 1 death (needed for ages to equal 366). Forty-fifty printed '3c'."
dcf42ec065695ba15a9d1a4fd0d1e66e0e8bfe83c6fe5fb8aa9f8d0d75959deb,2.jpg,christened_females,119,
dcf42ec065695ba15a9d1a4fd0d1e66e0e8bfe83c6fe5fb8aa9f8d0d75959deb,2.jpg,christened_in_all,247,
dcf42ec065695ba15a9d1a4fd0d1e66e0e8bfe83c6fe5fb8aa9f8d0d75959deb,2.jpg,buried_males,178,
dcf42ec065695ba15a9d1a4fd0d1e66e0e8bfe83c6fe5fb8aa9f8d0d75959deb,2.jpg,buried_females,188,
dcf42ec065695ba15a9d1a4fd0d1e66e0e8bfe83c6fe5fb8aa9f8d0d75959deb,2.jpg,buried_in_all,366,
dcf42ec065695ba15a9d1a4fd0d1e66e0e8bfe83c6fe5fb8aa9f8d0d75959deb,2.jpg,burials_change,-32,
dcf42ec065695ba15a9d1a4fd0d1e66e0e8bfe83c6fe5fb8aa9f8d0d75959deb,2.jpg,under_2,118,
